Codice,Ragione sociale,Partita IVA,Codice Fiscale,Indirizzo,address,buildingNumber,address + buildingNumber,CAP,Città,Prov.,Ragione sociale estesa,Telefono 1,E-mail,Pec,Telefono 2,Fax,Cell.,Alias,Macroarea,Descrizione macroarea,Area,Descrizione area,Zona,Descrizione zona,Macrocategoria,Descrizione macrocategoria,Categoria,Descrizione categoria,Sottocategoria,Descrizione sottocategoria,Raggruppamento 1,Descrizione raggruppamento 1,Raggruppamento 2,Descrizione raggruppamento 2,Raggruppamento 3,Descrizione raggruppamento 3,Stato est.,Descrizione Stato,Agente,Cond. Pagamento,Agente ID,Attivo,Anag. valida,Data validità,Anag. sost.,Ragione sociale sostitutiva,Data dismiss.,Codice AU,Cod. intermedio,Descr. intermedio,Tipo Nazione,Stato
5,BANCA IFIS S.P.A. (OVVERO IFIS BANCA S.P.A. O IN FORMA ABBRE,04570150278,02505630109,"Via Terraglio, 63",Via Terraglio,63,Via Terraglio 63,30174,Mestre,VE,,,laura.brusegan@bancaifis.it,,,,,,,,,,,,,,,,,,,,,,,,86,ITALIA,,409,,Si,Si,,,,,,,,Intracomunitario,
408,BANCA NAZIONALE DEL LAVORO S.P.A.,09339391006,09339391006,"Viale Altiero Spinelli, 30",Viale Altiero Spinelli,30,Viale Altiero Spinelli 30,00157,Roma,RM,,,Andrea.Recanatesi@bnlmail.com,,,,,,,,,,,,,,,,,,,,,,,,86,ITALIA,,409,,Si,Si,,,,,,,,Intracomunitario,
409,BANCO DI SARDEGNA S.P.A.,03830780361,01564560900,"Viale Bonaria, 33",Viale Bonaria,33,Viale Bonaria 33,09125,Sassari,SS,,, alessandro.biasin@bper.it,,,,,,,,,,,,,,,,,,,,,,,,86,ITALIA,,409,,Si,Si,,,,,,,,Intracomunitario,
410,BANCA MONTE DEI PASCHI DI SIENA S.P.A.,01483500524,00884060526,"Piazza Salimbeni, 3",Piazza Salimbeni,3,Piazza Salimbeni 3,53100,Siena,SI,,,enti@mps.it,,,,,,,,,,,,,,,,,,,,,,,,86,ITALIA,,409,,Si,Si,,,,,,,,Intracomunitario,
411,UNICREDIT SPA,00348170101,00348170101,"Piazza Gae Aulenti, 3",Piazza Gae Aulenti,3,Piazza Gae Aulenti 3,20154,Milano,MI,,,,,,,,,,,,,,,,,,,,,,,,,,,86,ITALIA,,409,,Si,Si,,,,,,,,Intracomunitario,
412,FINECOBANK BANCA FINECO S.P.A.,12962340159,01392970404,"Piazzale Durante Francesco, 11",Piazzale Durante Francesco,11,Piazzale Durante Francesco 11,20131,Reggio Emilia,RE,,,D.GANAPINI@FINECO.it,,,,,,,,,,,,,,,,,,,,,,,,86,ITALIA,,301,,Si,Si,,,,,,,,Intracomunitario,
413,INVEST BANCA SOCIETA' PER AZIONI,01082611003,02586460582,"Via Cherubini, 99",Via Cherubini,99,Via Cherubini 99,50053,Empoli,FI,,,organizzazione@investbanca.it,,,,,,,,,,,,,,,,,,,,,,,,86,ITALIA,,409,,Si,Si,,,,,,,,Intracomunitario,
414,CREDITO EMILIANO SPA,02823390352,01806740153,Via Emilia San Pietro 4,Via Emilia San Pietro,4,Via Emilia San Pietro 4,42100,Reggio Emilia,RE,,,,,,,,,,,,,,,,,,,,,,,,,,,86,ITALIA,,301,,Si,Si,,,,,,,,Intracomunitario,
415,BANCA INTERMOBILIARE DI INVESTIMENTI E GESTIONI SOCIETA' PER,02751170016,02751170016,"Via Gramsci, 7",Via Gramsci,7,Via Gramsci 7,10121,Torino,TO,,,alessandro.mitola@bancaintermobiliare.com,,,,,,,,,,,,,,,,,,,,,,,,86,ITALIA,,409,,Si,Si,,,,,,,,Intracomunitario,
416,BANCA CAPASSO ANTONIO S.P.A.,14994571009,00095310611,Via Venti Settembre 30,Via Venti Settembre,30,Via Venti Settembre 30,00187,Roma,RM,,,sistemi.pagamento@bancacapasso.it,,,,,,,,,,,,,,,,,,,,,,,,86,ITALIA,,301,,Si,Si,,,,,,,,Intracomunitario,
417,BANCA DEL PIEMONTE S.P.A.,00821100013,00821100013,"Via Cernaia, 7",Via Cernaia,7,Via Cernaia 7,10121,Torino,TO,,,canalidigitali@bancadelpiemonte.it,,,,,,,,,,,,,,,,,,,,,,,,86,ITALIA,,301,,Si,Si,,,,,,,,Intracomunitario,
418,CHEBANCA! S.P.A.,10536040966,10359360152,Viale Bodio 37,Viale Bodio,37,Viale Bodio 37,20158,Milano,MI,,,fulvio.mantovan@chebanca.it,,,,,,,,,,,,,,,,,,,,,,,,86,ITALIA,,301,,Si,Si,,,,,,,,Intracomunitario,
419,BANCA MEDIOLANUM S.P.A.,10540610960,02124090164,"Via Ennio Doris, 15",Via Ennio Doris,15,Via Ennio Doris 15,20080,Basiglio,MI,,,davide.mattarese@mediolanum.it,,,,,,,,,,,,,,,,,,,,,,,,86,ITALIA,,301,,Si,Si,,,,,,,,Intracomunitario,
420,INTESA SANPAOLO S.P.A.,11991500015,00799960158,"Piazza San Carlo, 156",Piazza San Carlo,156,Piazza San Carlo 156,10121,Torino,TO,,,maria.graziano@intesasanpaolo.com,,,,,,,,,,,,,,,,,,,,,,,,86,ITALIA,,409,,Si,Si,,,,,,,,Intracomunitario,
421,BANCA GENERALI - SOCIETA' PER AZIONI,01333550323,00833240328,"Via Machiavelli, 4",Via Machiavelli,4,Via Machiavelli 4,34132,Trieste,TS,,,ilaria.basanisi@bancagenerali.it,,,,,,,,,,,,,,,,,,,,,,,,86,ITALIA,,414,,Si,Si,,,,,,,,Intracomunitario,
422,IW BANK SPA,02458160245,00485260459,Piazzale Fratelli Zavattari 12,Piazzale Fratelli Zavattari,12,Piazzale Fratelli Zavattari 12,20149,Milano,MI,,,,,,,,,,,,,,,,,,,,,,,,,,,86,ITALIA,,301,,Si,Si,,,,,,,,Intracomunitario,
423,BANCA CESARE PONTI S.P.A.,07051880966,07051880966,"Piazza del Duomo, 19",Piazza del Duomo,19,Piazza del Duomo 19,20121,Milano,MI,,,processi.pagamento@carige.it,,,,,,,,,,,,,,,,,,,,,,,,86,ITALIA,,301,,Si,Si,,,,,,,,Intracomunitario,
424,DEUTSCHE BANK S.P.A.,01340740156,01340740156,"Piazza del Calendario, 3",Piazza del Calendario,3,Piazza del Calendario 3,20126,Milano,MI,,,massimo.colasanti@db.com,,,,,,,,,,,,,,,,,,,,,,,,86,ITALIA,,409,,Si,Si,,,,,,,,Intracomunitario,
425,UBI BANCA SPA,04334690163,04334690163,"Piazza Vittorio Veneto, 8",Piazza Vittorio Veneto,8,Piazza Vittorio Veneto 8,24122,Bergamo,BG,,,,,,,,,,,,,,,,,,,,,,,,,,,86,ITALIA,,301,,Si,Si,,,,,,,,Intracomunitario,
426,BANCA DEL FUCINO - S.P.A.,04256050875,04256050875,"Via Tomacelli, 107",Via Tomacelli,107,Via Tomacelli 107,00186,Roma,RM,,,p.rocchi@bancafucino.net,,,,,,,,,,,,,,,,,,,,,,,,86,ITALIA,,409,,Si,Si,,,,,,,,Intracomunitario,
427,REALE IMMOBILI SPA,11998320011,11998320011,"Corso Siccardi, 13",Corso Siccardi,13,Corso Siccardi 13,10122,Torino,TO,,,,,,,,,,,,,,,,,,,,,,,,,,,86,ITALIA,,301,,Si,Si,,,,,,,,Intracomunitario,
428,BANCA PER LO SVILUPPO DELLA COOPERAZIONE DI CREDITO S.P.A. E,15240741007,05852011005,"Via Lucrezia Romana, 41/47",Via Lucrezia Romana,41/47,Via Lucrezia Romana 41/47,00178,Roma,RM,,,mazzonim@sviluppo.bcc.it,,,,,,,,,,,,,,,,,,,,,,,,86,ITALIA,,301,,Si,Si,,,,,,,,Intracomunitario,
429,BANCA SISTEMA S.P.A.,12870770158,12870770158,Largo Augusto 1/A,Largo Augusto,1/A,Largo Augusto 1/A,20122,Milano,MI,,,,,,,,,,,,,,,,,,,,,,,,,,,86,ITALIA,,409,,Si,Si,,,,,,,,Intracomunitario,
430,BANCA CONSULIA S.P.A.,01733820037,01733820037,"Corso Monforte, 52",Corso Monforte,52,Corso Monforte 52,20122,Milano,MI,,,stefano.mossa@bancaconsulia.it,,,,,,,,,,,,,,,,,,,,,,,,86,ITALIA,,409,,Si,Si,,,,,,,,Intracomunitario,
431,BANCA IFIGEST - S.P.A.,04337180485,03712110588,"Piazza di Santa Maria Sopr'arno, 1",Piazza di Santa Maria Sopr'arno,1,Piazza di Santa Maria Sopr'arno 1,50125,Firenze,FI,,,enrico.algieri@bancaifigest.it,,,,,,,,,,,,,,,,,,,,,,,,86,ITALIA,,409,,Si,Si,,,,,,,,Intracomunitario,
432,IFIS RENTAL SERVICES SRL,04570150278,,,,, ,20122,Milano,MI,,,,,,,,,,,,,,,,,,,,,,,,,,,86,ITALIA,,301,,Si,Si,,,,,,,,Intracomunitario,
433,BANCA PATRIMONI SELLA & C. S.P.A. (IN SIGLA B.P.A. S.P.A.),02675650028,08301100015,"Via Lagrange, 20",Via Lagrange,20,Via Lagrange 20,10100,Torino,TO,,,cristina.colnaghi@sella.it,,,,,,,,,,,,,,,,,,,,,,,,86,ITALIA,,409,,Si,Si,,,,,,,,Intracomunitario,
434,BANCA DI SCONTO E CONTI CORRENTI DI SANTA MARIA CAPUA VETERE,00136290616,00136290616,"Piazza Mazzini, 54",Piazza Mazzini,54,Piazza Mazzini 54,81055,Santa Maria Capua Vetere,CE,,,venturellig@bansco.it,,,,,,,,,,,,,,,,,,,,,,,,86,ITALIA,,301,,Si,Si,,,,,,,,Intracomunitario,
435,BANCO DI LUCCA E DEL TIRRENO S.P.A. (IN FORMA ABBREVIATA BAN,02620360392,01880620461,"Viale Agostino Marti, 443",Viale Agostino Marti,443,Viale Agostino Marti 443,55100,Lucca,LU,,,averde@lacassa.it,,,,,,,,,,,,,,,,,,,,,,,,86,ITALIA,,301,,Si,Si,,,,,,,,Intracomunitario,
436,BANCA EUROMOBILIARE S.P.A.,02823390352,08935810153,"Via Santa Margherita, 9",Via Santa Margherita,9,Via Santa Margherita 9,20121,Milano,MI,,,egrassi@credem.it,,,,,,,,,,,,,,,,,,,,,,,,86,ITALIA,,301,,Si,Si,,,,,,,,Intracomunitario,
437,IBL ISTITUTO BANCARIO DEL LAVORO S.P.A. (IN FORMA ABBREVIATA,14994571009,00452550585,"Via Venti Settembre, 30",Via Venti Settembre,30,Via Venti Settembre 30,00187,Roma,RM,,,sistemipagamento@iblbanca.it,,,,,,,,,,,,,,,,,,,,,,,,86,ITALIA,,301,,Si,Si,,,,,,,,Intracomunitario,
438,BANCA PROMOS S.P.A.,04368171007,03321720637,"Viale Gramsci, 19",Viale Gramsci,19,Viale Gramsci 19,80100,Napoli,NA,,,ufficio.organizzazione@bancapromos.it,,,,,,,,,,,,,,,,,,,,,,,,86,ITALIA,,301,,Si,Si,,,,,,,,Intracomunitario,
439,BANCA GALILEO S.P.A.,03639870967,03639870967,"Corso Venezia, 40",Corso Venezia,40,Corso Venezia 40,20121,Milano,MI,,,organizzazione@bancagalileo.it,,,,,,,,,,,,,,,,,,,,,,,,86,ITALIA,,301,,Si,Si,,,,,,,,Intracomunitario,
440,HYPE S.P.A.,02686590023,,Piazza Gaudenzio Sella 1,Piazza Gaudenzio Sella,1,Piazza Gaudenzio Sella 1,13900,Biella,BI,,,elisa.boggiani@hype.it,,,,,,,,,,,,,,,,,,,,,,,,86,ITALIA,,301,,Si,Si,,,,,,,,Intracomunitario,
441,SOLUTION BANK S.P.A.,03374640401,03374640401,"Corso della Repubblica, 126",Corso della Repubblica,126,Corso della Repubblica 126,47121,Forlì,FC,,,davide.guiducci@solution.bank,,,,,,,,,,,,,,,,,,,,,,,,86,ITALIA,,301,,Si,Si,,,,,,,,Intracomunitario,
442,FIDEURAM - INTESA SANPAOLO PRIVATE BANKING S.P.A.,11991500015,00714540150,Piazza San Carlo 156,Piazza San Carlo,156,Piazza San Carlo 156,00000,Torino,TO,,,gscicchitano@fideuram.it,,,,,,,,,,,,,,,,,,,,,,,,86,ITALIA,,409,,Si,Si,,,,,,,,Intracomunitario,
443,BANCA MACERATA S.P.A. (IN FORMA ABBREVIATA BPRM S.P.A.),01541180434,01541180434,"Via Carducci, 67",Via Carducci,67,Via Carducci 67,62100,Macerata,MC,,,fabio.pezzola@bancamacerata.it,,,,,,,,,,,,,,,,,,,,,,,,86,ITALIA,,301,,Si,Si,,,,,,,,Intracomunitario,
444,BANCA PASSADORE & C. S.P.A.,00316380104,00316380104,"Via Ettore Vernazza, 27",Via Ettore Vernazza,27,Via Ettore Vernazza 27,16121,Genova,GE,,,servizio.procedureonline@bancapassadore.it,,,,,,,,,,,,,,,,,,,,,,,,86,ITALIA,,301,,Si,Si,,,,,,,,Intracomunitario,
445,BANCA DEL SUD S.P.A.,05479261215,05479261215,"Via Calabritto, 20",Via Calabritto,20,Via Calabritto 20,80121,Napoli,NA,,,organizzazione@bancadelsud.com,,,,,,,,,,,,,,,,,,,,,,,,86,ITALIA,,409,,Si,Si,,,,,,,,Intracomunitario,
446,CHERRY BANK SPA,04147080289,04147080289,Via San Marco 11,Via San Marco,11,Via San Marco 11,35129,Padova,PD,,,organizzazione@bancodelletrevenezie.it,,,,,,,,,,,,,,,,,,,,,,,,86,ITALIA,,409,,Si,Si,,,,,,,,Intracomunitario,
447,BANCA SANTA GIULIA S.P.A.,00670100981,01994680179,"Via Quartieri, 39",Via Quartieri,39,Via Quartieri 39,25032,Chiari,BS,,,organizzazione@bancasantagiulia.it,,,,,,,,,,,,,,,,,,,,,,,,86,ITALIA,,301,,Si,Si,,,,,,,,Intracomunitario,
