contract_id,document_name,provider_names,signed_date,contract_type,name,Nome breve,abi,tax_code,vat_code,vat_group,pec_mail,courtesy_mail,referente fattura_mail,sdd,sdi_code,membership_id,recipient_id
pagopa-psp-54,CI017_A_Mooney Spa,"SIGPITM1XXX,ABI32532,ITBBITM1",05/12/2019,A,Mooney S.p.A.,Mooney,32532,06529501006,12564030968,TRUE,mooney@pec.mooney.it,paolo.bonelli@mooney.it,,FALSE,A4707H7,pagopa-psp-183,pagopa-psp-54
pagopa-psp-53,CI016_A_Satispay,SATYLUL1,09/12/2019,A,Satispay Europe S.A.,Satispay,SAPAY,92298050284,LU30726739,FALSE,satispayeurope@pec.satispay.com,dario.brignone@satispay.com,,TRUE,,pagopa-psp-53,pagopa-psp-53
pagopa-psp-49,CI012_A_NEXI,CIPBITMM,16/12/2019,A,Nexi Payments S.p.A.,Nexi,32875,04107060966,10542790968,TRUE,nexipayments@pec.nexi.it,enrico.albertelli@nexi.it ,,FALSE,,pagopa-psp-49,pagopa-psp-49
pagopa-psp-52,CI012_A_NEXI,PPAYITR1XXX,17/12/2019,A,Postepay S.p.A.,Postepay,36081,06874351007,06874351007,FALSE,pagopa.postepay@pec.posteitaliane.it,alberto.scaduto@postepay.it,FABIO.VEGLIANTI@posteitaliane.it ,FALSE,,pagopa-psp-51,pagopa-psp-52
pagopa-psp-51,CI014_A_PosteItaliane,BPPIITRRXXX,19/12/2019,A,Poste Italiane S.p.A.,Poste Italiane,POSTE,97103880585,01114601006,FALSE,pagopa.poste@pec.posteitaliane.it,FABIO.VEGLIANTI@posteitaliane.it ,FABIO.VEGLIANTI@posteitaliane.it ,FALSE,,pagopa-psp-51,pagopa-psp-51
pagopa-psp-163,CI129_B_FACTORCOOP_SPA,ABI19164,20/12/2019,B,Factorcoop S.p.A.,Factorcoop,19164,03339200374,03339200374,TRUE,factorcoopspa@legalmail.it,serafini@factorcoop.it,,FALSE,,pagopa-psp-163,pagopa-psp-163
pagopa-psp-212,CI180_A_Vival Banca BCC Montecatini Terme,ABI08003,20/12/2019,A,"Vival Banca - Banca di Credito Cooperativo di Montecatini Terme, Bientina e S. Pietro in Vincio S.C.",ViVal Banca,08003,00088180476,15240741007,TRUE,amministrazione.vivalbanca@actaliscertymail.it,giovanni.romboli@vivalbanca.bcc.it,,FALSE,9GHPHLV,pagopa-psp-382,pagopa-psp-382
pagopa-psp-01,CI001_B_Banca IFIS SpA,ABI03205,16/01/2020,B,Banca Ifis S.p.A.,Banca Ifis,03205,02505630109,04570150278,TRUE,segreteria@bancaifis.legalmail.it,laura.brusegan@bancaifis.it,Enza.fabbiano@bancaifis.it,FALSE,,pagopa-psp-01,pagopa-psp-01
pagopa-psp-383,CI358_A_AIGIS BANCA ,,18/01/2020,A,Aigis Banca S.p.A.,Aigis Banca,03323,06150120720,06150120720,FALSE,info@aigisbanca.infocert.it ,sistemidipagamento@aigisbanca.it,,FALSE,,pagopa-psp-383,pagopa-psp-01
pagopa-psp-47,CI010_A_INVEST,,23/01/2020,A,Invest Banca S.p.A.,Invest Banca,03017,02586460582,01082611003,FALSE,segreteria.generale@pec.investbanca.it,organizzazione@investbanca.it,,FALSE,XWJKNZD,pagopa-psp-47,pagopa-psp-88
pagopa-psp-44,CI007_B_Cassa di Risparmio di Bolzano SpA,"CRBZIT2B,ABI06045",27/01/2020,B,Cassa di Risparmio di Bolzano S.p.A. - Sudtiroler Sparkasse AG,Cassa di Risparmio di Bolzano - Sudtiroler Sparkasse AG,06045,00152980215,03179070218,TRUE,certmail@pec.sparkasse.it,manfred.burger@sparkasse.it,,FALSE,75HCYT1,pagopa-psp-44,pagopa-psp-44
pagopa-psp-46,CI009_B_Intesa S Paolo,"BCITITMM,ABI03069",28/01/2020,B,Intesa Sanpaolo S.p.A.,Intesa Sanpaolo,03069,00799960158,11991500015,TRUE,payments_cash_management@pec.intesasanpaolo.com;,maria.graziano@intesasanpaolo.com,,FALSE,,pagopa-psp-46,pagopa-psp-46
pagopa-psp-04,CI006_A_Cassa Centrale Raiffeisen,"RZSBIT2B,ABI03493",30/01/2020,A,Cassa Centrale Raiffeisen dell'Alto Adige - Raiffeisen-Landesbank Suedtirol A.G.,Cassa Centrale Raiffeisen dell'Alto Adige - Raiffeisen-Landesbank Suedtirol A.G.,03493,00194450219,00194450219,TRUE,Pec03493@raiffeisen-legalmail.it,rlb.invoice@raiffeisen.it,,FALSE,SUBM70N,pagopa-psp-04,pagopa-psp-04
pagopa-psp-05,CI006_A_CASSA RAIFFEISEN ALTA PUSTERIA SOCIETA' COOPERATIVA (IN LINGUA TEDESCA RAIFFEISENKASSE HOCHPUSTERTAL GENOSSENSCHAFT),"RZSBIT21009,ABI08020",30/01/2020,A,Cassa Raiffeisen Alta Pusteria Società Cooperativa (Raiffeisenkasse Hochpustertal Gen.),Cassa Raiffeisen Alta Pusteria,08020,00143210219,00143210219,FALSE,pec08020@raiffeisen-legalmail.it,rk.hochpustertal@raiffeisen.it,,FALSE,,pagopa-psp-05,pagopa-psp-04
pagopa-psp-06,CI006_A_CASSA RAIFFEISEN ALTA VENOSTA SOCIETA' COOPERATIVA (IN LINGUA TEDESCA RAIFFEISENKASSE OBERVINSCHGAU GENOSSENSCHAFT),"RZSBIT21024,ABI08066",30/01/2020,A,Cassa Raiffeisen Alta Venosta Società Cooperativa (Raiffeisenkasse Obervinschgau Gen.),Cassa Raiffeisen Alta Venosta,08066,00137230215,00137230215,FALSE,pec08066@raiffeisen-legalmail.it,rk.obervinschgau@raiffeisen.it,,FALSE,,pagopa-psp-06,pagopa-psp-04
